Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,Kriteria Unjuk Kerja (KUK),,,,,
Penyelenggara Transfer Dana,K.64SPP01.001.1,Melaksanakan Penyelenggaraan Transfer Dana,Melakukan persiapan transaksi transfer dana,1.1 Identitas pengirim diverifikasi sesuai prosedur. 1.2 Dokumen pendukung transfer diperiksa keabsahannya. 1.3 Formulir pengiriman dana diisi dengan lengkap.,,,,,
Penyelenggara Transfer Dana,K.64SPP01.001.1,Melaksanakan Penyelenggaraan Transfer Dana,Memproses perintah transfer dana,2.1 Perintah transfer diinput ke dalam sistem. 2.2 Kecukupan dana pengirim dipastikan. 2.3 Nomor referensi transaksi diterbitkan sebagai bukti.,,,,,
Kasir/Teller,K.64SPP02.003.1,Melakukan Penanganan Uang Rupiah,Mengidentifikasi keaslian uang Rupiah,"1.1 Ciri-ciri keaslian uang Rupiah diperiksa (dilihat, diraba, diterawang). 1.2 Alat bantu deteksi uang palsu digunakan. 1.3 Uang yang diragukan keasliannya dipisahkan sesuai prosedur Bank Indonesia.",,,,,
Kasir/Teller,K.64SPP02.003.1,Melakukan Penanganan Uang Rupiah,Melakukan penghitungan uang Rupiah,2.1 Uang dihitung secara manual atau menggunakan mesin hitung. 2.2 Jumlah fisik uang dicocokkan dengan catatan transaksi. 2.3 Uang dikelompokkan berdasarkan denominasi dan emisi.,,,,,
Audit Internal,K.64SPP03.005.1,Melakukan Audit Operasional Sistem Pembayaran,Menyiapkan rencana audit,1.1 Objek audit operasional ditentukan. 1.2 Program kerja audit disusun berdasarkan tingkat risiko. 1.3 Jadwal pelaksanaan audit dikomunikasikan kepada auditee.,,,,,
Audit Internal,K.64SPP03.005.1,Melakukan Audit Operasional Sistem Pembayaran,Melaksanakan prosedur audit,2.1 Pengujian kepatuhan terhadap SOP dilakukan. 2.2 Bukti-bukti transaksi diperiksa secara sampling. 2.3 Temuan audit didokumentasikan dalam kertas kerja audit.,,,,,
Compliance Officer,K.64SPP04.002.1,Menerapkan Program APU dan PPT,Mengidentifikasi profil nasabah,"1.1 Data identitas nasabah dikumpulkan melalui prosedur CDD (Customer Due Diligence). 1.2 Pemilik manfaat (Beneficial Owner) diidentifikasi. 1.3 Tingkat risiko nasabah (rendah, sedang, tinggi) ditetapkan.",,,,,
Compliance Officer,K.64SPP04.002.1,Menerapkan Program APU dan PPT,Memantau transaksi keuangan mencurigakan,2.1 Transaksi yang tidak sesuai profil nasabah dideteksi. 2.2 Laporan Transaksi Keuangan Mencurigakan (LTKM) disusun. 2.3 Laporan dikirimkan ke PPATK melalui sistem yang tersedia.,,,,,
Operasional Kliring,K.64SPP01.008.1,Melaksanakan Pertukaran Data Kliring,Menyiapkan data kliring,1.1 Warkat debit/kredit dikumpulkan. 1.2 Data transaksi diinput ke dalam Sistem Kliring Nasional Bank Indonesia (SKNBI).,,,,,
Operasional Kliring,K.64SPP01.008.1,Melaksanakan Pertukaran Data Kliring,Menyelesaikan proses kliring,2.1 Hasil kliring (menang/kalah) dipantau pada terminal kliring. 2.2 Saldo rekening di Bank Indonesia dipastikan mencukupi untuk setelmen.,,,,,
Pengelola Kas (Cash in Transit),K.64SPP02.010.1,Melaksanakan Pengiriman Uang Tunai,Menyiapkan armada dan personel pengiriman,1.1 Kendaraan angkut uang dipastikan dalam kondisi layak dan aman. 1.2 Personel pengawalan dipastikan siap sesuai standar keamanan.,,,,,
Pengelola Kas (Cash in Transit),K.64SPP02.010.1,Melaksanakan Pengiriman Uang Tunai,Melakukan serah terima uang di lokasi tujuan,2.1 Berita acara serah terima ditandatangani kedua belah pihak. 2.2 Kondisi segel tas/kantong uang dipastikan masih utuh.,,,,,
Risk Management,K.64SPP03.012.1,Melakukan Manajemen Risiko Operasional,Mengidentifikasi kejadian risiko operasional,1.1 Database kejadian risiko (Loss Event Database) diperbarui. 1.2 Penyebab utama kegagalan sistem atau manusia diidentifikasi.,,,,,
Risk Management,K.64SPP03.012.1,Melakukan Manajemen Risiko Operasional,Melakukan pemantauan risiko,2.1 Key Risk Indicators (KRI) dipantau secara berkala. 2.2 Laporan profil risiko operasional disusun untuk komite manajemen risiko.,,,,,
IT Support Keuangan,K.64SPP01.015.1,Mengelola Infrastruktur Sistem Pembayaran,Melakukan pemeliharaan sistem,1.1 Perangkat keras server dipastikan berfungsi optimal. 1.2 Pembaruan patch keamanan sistem dilakukan secara rutin.,,,,,
IT Support Keuangan,K.64SPP01.015.1,Mengelola Infrastruktur Sistem Pembayaran,Menangani gangguan sistem (Troubleshooting),2.1 Laporan gangguan dari pengguna ditindaklanjuti. 2.2 Prosedur pemulihan bencana (Disaster Recovery) dijalankan jika terjadi kegagalan sistem total.,,,,,
Settlement Officer,K.64SPP01.020.1,Melakukan Setelmen Transaksi,Melakukan rekonsiliasi data transaksi,1.1 Data dari sistem front-end dicocokkan dengan laporan back-end. 1.2 Selisih transaksi (discrepancy) diidentifikasi penyebabnya.,,,,,
Settlement Officer,K.64SPP01.020.1,Melakukan Setelmen Transaksi,Melaksanakan penyelesaian akhir,2.1 Perintah pembukuan ke buku besar dilakukan. 2.2 Laporan harian setelmen disahkan oleh pejabat berwenang.,,,,,
Treasury Operations,K.64SPP01.025.1,Mengelola Likuiditas Harian,Memantau posisi saldo kas,1.1 Proyeksi arus kas masuk dan keluar harian dihitung. 1.2 Kecukupan likuiditas untuk memenuhi kewajiban segera dipastikan.,,,,,
Treasury Operations,K.64SPP01.025.1,Mengelola Likuiditas Harian,Melakukan penempatan kelebihan dana,2.1 Instrumen pasar uang jangka pendek dipilih. 2.2 Transaksi penempatan dana dilakukan melalui sistem yang disetujui.,,,,,
Operasional Sistem,K.64SPP01.031.1,Melaksanakan Monitoring Sistem Pembayaran,Melakukan pemantauan transaksi berjalan,1.1 Status antrian transaksi diperiksa pada dashboard. 1.2 Kelancaran arus data antar bank dipastikan. 1.3 Indikasi perlambatan sistem diidentifikasi sedini mungkin.,,,,,
Operasional Sistem,K.64SPP01.031.1,Melaksanakan Monitoring Sistem Pembayaran,Melaporkan hasil pemantauan,2.1 Laporan performa sistem harian disusun. 2.2 Insiden sistemik dilaporkan kepada pengawas sistem pembayaran.,,,,,
Layanan Pelanggan,K.64SPP01.033.1,Melakukan Penanganan Pengaduan Konsumen,Menerima pengaduan konsumen,1.1 Keluhan konsumen dicatat dalam sistem penanganan pengaduan. 1.2 Bukti-bukti transaksi yang diadukan dikumpulkan. 1.3 Nomor tiket pengaduan diberikan kepada konsumen.,,,,,
Layanan Pelanggan,K.64SPP01.033.1,Melakukan Penanganan Pengaduan Konsumen,Menyelesaikan pengaduan konsumen,2.1 Investigasi internal atas keluhan dilakukan. 2.2 Solusi atau jawaban diberikan kepada konsumen sesuai batas waktu (SLA). 2.3 Status pengaduan diperbarui menjadi selesai.,,,,,
Pengelolaan Uang,K.64SPP02.015.1,Melakukan Pemrosesan Uang Rupiah,Melakukan penyortiran uang Rupiah,1.1 Uang dipisahkan antara Uang Layak Edar (ULE) dan Uang Tidak Layak Edar (UTLE). 1.2 Uang rusak atau cacat dikategorikan untuk dimusnahkan. 1.3 Uang emisi lama dipisahkan dari emisi baru.,,,,,
Pengelolaan Uang,K.64SPP02.015.1,Melakukan Pemrosesan Uang Rupiah,Mengemas uang hasil sortiran,2.1 Uang diban/diikat sesuai standar jumlah. 2.2 Label pengepakan dipasang pada setiap bundel uang. 2.3 Data hasil pengolahan diinput ke sistem logistik uang.,,,,,
Audit Teknologi,K.64SPP03.018.1,Melakukan Audit Keamanan Informasi Sistem Pembayaran,Memeriksa akses log sistem,1.1 Daftar riwayat login administrator diperiksa. 1.2 Percobaan akses ilegal (unauthorized access) diidentifikasi.,,,,,
Audit Teknologi,K.64SPP03.018.1,Melakukan Audit Keamanan Informasi Sistem Pembayaran,Melakukan evaluasi kontrol enkripsi,2.1 Standar enkripsi data transaksi dipastikan sesuai regulasi. 2.2 Mekanisme pengelolaan kunci kriptografi diperiksa prosedurnya.,,,,,
Anti Fraud Officer,K.64SPP04.005.1,Melakukan Deteksi Fraud pada Transaksi Elektronik,Menganalisis pola transaksi mencurigakan,1.1 Parameter alarm fraud pada sistem pemantauan diatur. 1.2 Anomali frekuensi transaksi dalam waktu singkat diidentifikasi.,,,,,
Anti Fraud Officer,K.64SPP04.005.1,Melakukan Deteksi Fraud pada Transaksi Elektronik,Menindaklanjuti indikasi fraud,2.1 Pemblokiran sementara akun dilakukan sesuai prosedur keamanan. 2.2 Verifikasi langsung dilakukan kepada pemegang akun.,,,,,
Operasional Kartu,K.64SPP01.040.1,Mengelola Alat Pembayaran Menggunakan Kartu (APMK),Memproses penerbitan kartu baru,1.1 Data permohonan kartu divalidasi. 1.2 Personalisasi data pada chip kartu dilakukan. 1.3 Pengiriman kartu dan PIN dipastikan melalui jalur aman.,,,,,
Operasional Kartu,K.64SPP01.040.1,Mengelola Alat Pembayaran Menggunakan Kartu (APMK),Menangani penggantian kartu,2.1 Kartu rusak atau hilang diblokir secara permanen. 2.2 Pencetakan kartu pengganti diproses sesuai permintaan nasabah.,,,,,
Risk Analyst,K.64SPP03.022.1,Melakukan Manajemen Risiko Likuiditas,Menghitung rasio likuiditas,1.1 Proyeksi arus kas keluar neto (Net Cash Outflow) dihitung. 1.2 Posisi High Quality Liquid Assets (HQLA) dipantau.,,,,,
Risk Analyst,K.64SPP03.022.1,Melakukan Manajemen Risiko Likuiditas,Menyiapkan rencana pendanaan darurat,2.1 Sumber pendanaan cadangan (contingency funding) dipetakan. 2.2 Skenario stress test likuiditas dilakukan secara periodik.,,,,,
Legal/Compliance,K.64SPP04.010.1,Menelaah Kepatuhan Regulasi Sistem Pembayaran,Melakukan pemantauan regulasi baru,1.1 Peraturan Bank Indonesia terbaru diidentifikasi dampaknya. 1.2 Kebijakan internal disesuaikan dengan aturan baru.,,,,,
Legal/Compliance,K.64SPP04.010.1,Menelaah Kepatuhan Regulasi Sistem Pembayaran,Memberikan opini kepatuhan,2.1 Analisis hukum atas produk sistem pembayaran baru disusun. 2.2 Rekomendasi teknis diberikan agar operasional tidak melanggar aturan.,,,,,
Kasir ATM/CRM,K.64SPP02.022.1,Melakukan Pengisian Kas Mesin ATM/CRM,Menyiapkan kaset uang,1.1 Kaset ATM diisi dengan uang sesuai kapasitas. 1.2 Segel kaset dipasang dan nomor segel dicatat.,,,,,
Kasir ATM/CRM,K.64SPP02.022.1,Melakukan Pengisian Kas Mesin ATM/CRM,Melakukan rekonsiliasi sisa kas mesin,2.1 Sisa uang di dalam mesin dihitung kembali. 2.2 Laporan fisik mesin dicocokkan dengan data jurnal sistem elektronik.,,,,,
Business Analyst,K.64SPP01.050.1,Mengembangkan Produk Layanan Pembayaran Digital,Melakukan analisis kebutuhan pasar,1.1 Tren penggunaan QRIS atau e-wallet dianalisis. 1.2 Fitur yang dibutuhkan pengguna diidentifikasi melalui survei.,,,,,
Business Analyst,K.64SPP01.050.1,Mengembangkan Produk Layanan Pembayaran Digital,Merancang model bisnis layanan,2.1 Struktur biaya dan pendapatan (pricing model) ditentukan. 2.2 Skema kerja sama dengan pihak ketiga (merchant/aggregator) disusun.,,,,,
Risk Analyst,K.64SPP03.023.1,Melakukan Manajemen Risiko Kredit,Mengidentifikasi eksposur risiko kredit,1.1 Kualitas aset produktif dipantau. 1.2 Konsentrasi penyaluran dana dianalisis per sektor. 1.3 Potensi kegagalan bayar lawan transaksi diidentifikasi.,,,,,
Risk Analyst,K.64SPP03.023.1,Melakukan Manajemen Risiko Kredit,Menetapkan limit risiko kredit,2.1 Batas maksimum penyaluran dana ditentukan. 2.2 Agunan atau jaminan dievaluasi kecukupannya.,,,,,
Business Continuity,K.64SPP03.025.1,Mengelola Rencana Kelangsungan Bisnis,Menyusun strategi pemulihan,1.1 Analisis Dampak Bisnis (BIA) dilakukan. 1.2 Prosedur pemulihan layanan kritis ditetapkan. 1.3 Lokasi kerja cadangan (DRC) disiapkan.,,,,,
Business Continuity,K.64SPP03.025.1,Mengelola Rencana Kelangsungan Bisnis,Menguji coba rencana kelangsungan bisnis,2.1 Simulasi gangguan sistem dilakukan secara rutin. 2.2 Efektivitas prosedur pemulihan dievaluasi pasca uji coba.,,,,,
Penyelenggara QRIS,K.64SPP01.062.1,Mengelola Transaksi Pembayaran Berbasis QR Code,Melakukan on-boarding merchant,1.1 Kelengkapan dokumen legalitas merchant diverifikasi. 1.2 Kategori merchant (MSME/Regular) ditentukan sesuai kriteria. 1.3 Kode QR (Merchant ID) diterbitkan.,,,,,
Penyelenggara QRIS,K.64SPP01.062.1,Mengelola Transaksi Pembayaran Berbasis QR Code,Melakukan rekonsiliasi transaksi QR,2.1 Data transaksi dari sistem switching dicocokkan dengan saldo bank. 2.2 Dana diteruskan ke rekening merchant tepat waktu.,,,,,
IT Security,K.64SPP01.018.1,Mengelola Keamanan Infrastruktur SP,Menerapkan kontrol akses fisik dan logik,1.1 Hak akses server dibatasi hanya untuk personel berwenang. 1.2 Sistem logging aktivitas administrator diaktifkan. 1.3 Kata sandi (password) diperbarui secara berkala.,,,,,
IT Security,K.64SPP01.018.1,Mengelola Keamanan Infrastruktur SP,Melakukan pemantauan serangan siber,2.1 Intrusion Detection System (IDS) dipantau secara real-time. 2.2 Laporan upaya peretasan didokumentasikan untuk investigasi.,,,,,
Layanan Syariah,K.64SPP01.070.1,Menerapkan Prinsip Syariah pada Sistem Pembayaran,Memastikan kepatuhan syariah pada produk,"1.1 Akad yang digunakan dipastikan bebas dari Riba, Gharar, dan Maysir. 1.2 Fatwa DSN-MUI terkait sistem pembayaran dipedomani.",,,,,
Layanan Syariah,K.64SPP01.070.1,Menerapkan Prinsip Syariah pada Sistem Pembayaran,Melakukan review aspek syariah berkala,2.1 Alur transaksi produk diuji kesesuaiannya dengan akad. 2.2 Laporan hasil pengawasan syariah disusun untuk manajemen.,,,,,
Customer Support,K.64SPP01.035.1,Memberikan Layanan Edukasi Konsumen,Menyusun materi literasi keuangan,1.1 Panduan keamanan bertransaksi digital disiapkan. 1.2 Informasi hak dan kewajiban konsumen disusun dengan bahasa sederhana.,,,,,
Customer Support,K.64SPP01.035.1,Memberikan Layanan Edukasi Konsumen,Melaksanakan kegiatan sosialisasi,2.1 Sosialisasi dilakukan melalui kanal digital maupun tatap muka. 2.2 Tingkat pemahaman konsumen diukur melalui kuesioner.,,,,,
Data Analyst,K.64SPP01.080.1,Mengelola Data Transaksi Sistem Pembayaran,Melakukan pengolahan data statistik transaksi,1.1 Data volume dan nilai transaksi harian dikumpulkan. 1.2 Tren pertumbuhan transaksi non-tunai dianalisis.,,,,,
Data Analyst,K.64SPP01.080.1,Mengelola Data Transaksi Sistem Pembayaran,Menyusun laporan manajerial,2.1 Visualisasi data disusun dalam bentuk dashboard. 2.2 Ringkasan eksekutif performa sistem pembayaran disajikan.,,,,,
Vault Officer,K.64SPP02.025.1,Mengelola Penyimpanan Uang Tunai di Khazanah,Melakukan penataan uang di dalam khazanah,1.1 Uang disusun berdasarkan denominasi dan kondisi (ULE/UTLE). 1.2 Kapasitas tampung khazanah dipantau agar tetap aman.,,,,,
Vault Officer,K.64SPP02.025.1,Mengelola Penyimpanan Uang Tunai di Khazanah,Menjaga keamanan ruang khazanah,2.1 Dual control (dua pemegang kunci) diterapkan setiap masuk ruang. 2.2 Suhu dan kelembapan ruangan dijaga agar uang tidak rusak.,,,,,
Logistik Uang,K.64SPP02.030.1,Mengelola Distribusi Uang Rupiah,Merencanakan jadwal distribusi,1.1 Kebutuhan uang tunai di daerah tujuan diprediksi. 1.2 Rute distribusi yang paling aman dan efisien ditentukan.,,,,,
Logistik Uang,K.64SPP02.030.1,Mengelola Distribusi Uang Rupiah,Melaksanakan proses loading/unloading,2.1 Jumlah bundel uang diperiksa saat masuk kendaraan. 2.2 Berita acara distribusi ditandatangani oleh petugas pengawal.,,,,,
Legal Officer,K.64SPP04.015.1,Menyusun Perjanjian Kerja Sama (PKS),Merancang klausul perjanjian,1.1 Ruang lingkup kerja sama dengan mitra teknis didefinisikan. 1.2 Klausul kerahasiaan data (NDA) dimasukkan dalam draf.,,,,,
Legal Officer,K.64SPP04.015.1,Menyusun Perjanjian Kerja Sama (PKS),Melakukan negosiasi kontrak,2.1 Perbedaan pandangan hukum dengan mitra diselesaikan. 2.2 Dokumen final PKS ditandatangani oleh pejabat berwenang.,,,,,
E-Wallet Admin,K.64SPP01.085.1,Mengelola Operasional Uang Elektronik,Memantau saldo mengendap (Floating Fund),1.1 Saldo dana pengguna dihitung setiap hari. 1.2 Penempatan dana pada bank yang disetujui dipastikan sesuai aturan.,,,,,
E-Wallet Admin,K.64SPP01.085.1,Mengelola Operasional Uang Elektronik,Menangani pengembalian dana (Refund),2.1 Validasi klaim kegagalan transaksi dilakukan. 2.2 Proses pengembalian saldo ke akun pengguna dijalankan.,,,,,
Remittance Clerk,K.64SPP01.090.1,Melakukan Layanan Kiriman Uang Luar Negeri,Melakukan pengecekan sanksi internasional,1.1 Nama pengirim dan penerima diperiksa terhadap daftar cekal (UN List). 1.2 Transaksi dari negara berisiko tinggi (FATF list) dianalisis.,,,,,
Remittance Clerk,K.64SPP01.090.1,Melakukan Layanan Kiriman Uang Luar Negeri,Menginformasikan biaya koresponden,2.1 Biaya bank perantara (ben-deduct) dijelaskan kepada nasabah. 2.2 Estimasi waktu dana sampai di negara tujuan diinformasikan.,,,,,
Internal Auditor,K.64SPP03.030.1,Melakukan Audit Kepatuhan Anti Pencucian Uang,Mengevaluasi sistem scoring risiko nasabah,1.1 Bobot kriteria risiko nasabah diperiksa logikanya. 1.2 Ketepatan penetapan status PEP (Politically Exposed Person) divalidasi.,,,,,
Internal Auditor,K.64SPP03.030.1,Melakukan Audit Kepatuhan Anti Pencucian Uang,Meninjau laporan ke PPATK,2.1 Kelengkapan Laporan Transaksi Tunai (LTT) diverifikasi. 2.2 Ketepatan waktu pengiriman laporan ke otoritas dipastikan.,,,,,
Network Admin,K.64SPP01.095.1,Mengelola Jaringan Komunikasi Data Keuangan,Konfigurasi jalur komunikasi tertutup (VPN),1.1 Jalur komunikasi terenkripsi antar kantor cabang dibangun. 1.2 Performa latensi jaringan dipantau agar transaksi tidak timeout.,,,,,
Network Admin,K.64SPP01.095.1,Mengelola Jaringan Komunikasi Data Keuangan,Mengelola redundancy link,2.1 Jalur koneksi cadangan (backup link) disiapkan. 2.2 Failover otomatis diuji coba secara berkala.,,,,,
Finance Officer,K.64SPP01.100.1,Melakukan Pembayaran Pajak Transaksi,Menghitung pajak atas biaya administrasi,1.1 Pajak Pertambahan Nilai (PPN) atas fee transaksi dihitung. 1.2 Bukti potong pajak disiapkan bagi mitra bisnis.,,,,,
Finance Officer,K.64SPP01.100.1,Melakukan Pembayaran Pajak Transaksi,Melaporkan setoran pajak,2.1 Data pajak diunggah ke sistem e-faktur otoritas pajak. 2.2 SSP (Surat Setoran Pajak) disimpan sebagai arsip akuntansi.,,,,,
Penyelenggara Kliring,K.64SPP01.042.1,Melaksanakan Kliring Berjadwal,Melakukan validasi pesan kliring,1.1 Pesan kliring yang masuk diperiksa kelengkapan formatnya. 1.2 Saldo peserta kliring dipastikan cukup untuk proses setelmen.,,,,,
Penyelenggara Kliring,K.64SPP01.042.1,Melaksanakan Kliring Berjadwal,Menghasilkan laporan posisi kliring,2.1 Hasil perhitungan kewajiban antar bank diterbitkan. 2.2 Laporan rekapitulasi harian dikirimkan kepada peserta kliring.,,,,,
Officer Penagihan,K.64SPP01.045.1,Mengelola Penagihan Transaksi Gagal,Mengidentifikasi penyebab gagal setelmen,1.1 Transaksi yang tidak terselesaikan (pending) ditarik datanya. 1.2 Kesalahan teknis atau kekurangan dana diidentifikasi.,,,,,
Officer Penagihan,K.64SPP01.045.1,Mengelola Penagihan Transaksi Gagal,Melakukan rekonsiliasi piutang,2.1 Konfirmasi penagihan dikirimkan kepada bank lawan. 2.2 Dana pengganti dipastikan masuk ke rekening penampung.,,,,,
Security Guard,K.64SPP02.040.1,Melakukan Pengawalan Uang Tunai,Melakukan pemeriksaan keamanan rute,1.1 Rute pengiriman dianalisis potensi kerawanannya. 1.2 Jalur alternatif disiapkan jika terjadi hambatan di jalur utama.,,,,,
Security Guard,K.64SPP02.040.1,Melakukan Pengawalan Uang Tunai,Melaksanakan prosedur tanggap darurat,2.1 Tindakan perlindungan dilakukan jika terjadi upaya perampokan. 2.2 Komunikasi dengan pusat komando (command center) dijaga selama insiden.,,,,,
Quality Control,K.64SPP02.045.1,Melakukan Kontrol Kualitas Uang Rupiah,Memeriksa spesifikasi uang baru,1.1 Kualitas cetak dan warna uang diperiksa kesesuaiannya dengan standar. 1.2 Unsur pengaman (security features) dipastikan berfungsi.,,,,,
Quality Control,K.64SPP02.045.1,Melakukan Kontrol Kualitas Uang Rupiah,Mengelola uang hasil sortir mesin,2.1 Akurasi mesin sortir uang dipantau secara periodik. 2.2 Sampel uang layak edar diuji ketahanannya secara fisik.,,,,,
Merchant Relation,K.64SPP01.055.1,Mengelola Layanan Merchant,Melakukan edukasi penggunaan mesin EDC,1.1 Petugas merchant dilatih cara memproses transaksi. 1.2 Prosedur penanganan kartu tertelan dijelaskan kepada merchant.,,,,,
Merchant Relation,K.64SPP01.055.1,Mengelola Layanan Merchant,Memproses klaim chargeback merchant,2.1 Dokumen sanggahan transaksi dikumpulkan dari merchant. 2.2 Investigasi dilakukan untuk menentukan validitas transaksi.,,,,,
IT Network,K.64SPP01.060.1,Mengelola Konektivitas Antar Bank,Melakukan konfigurasi router jaringan,1.1 Protokol routing diatur untuk efisiensi pengiriman data. 1.2 Firewall diatur untuk mengizinkan trafik dari alamat IP yang dikenal.,,,,,
IT Network,K.64SPP01.060.1,Mengelola Konektivitas Antar Bank,Menangani masalah latensi tinggi,2.1 Analisis trafik dilakukan menggunakan network analyzer. 2.2 Bandwidth disesuaikan untuk mencegah kemacetan data transaksi.,,,,,
Business Strategist,K.64SPP03.040.1,Melakukan Analisis Strategi Bisnis SP,Melakukan benchmarking kompetitor,1.1 Fitur layanan pembayaran pesaing dipetakan. 1.2 Keunggulan kompetitif produk internal dianalisis.,,,,,
Business Strategist,K.64SPP03.040.1,Melakukan Analisis Strategi Bisnis SP,Menyusun proyeksi pertumbuhan bisnis,2.1 Target jumlah pengguna dan volume transaksi ditetapkan. 2.2 Rencana pemasaran terintegrasi disusun untuk mencapai target.,,,,,
Treasury Officer,K.64SPP01.065.1,Mengelola Penempatan Dana di Bank Sentral,Memonitor saldo Giro di Bank Indonesia,1.1 Saldo harian di rekening RTGS dipantau. 1.2 Kecukupan dana untuk Giro Wajib Minimum (GWM) dipastikan.,,,,,
Treasury Officer,K.64SPP01.065.1,Mengelola Penempatan Dana di Bank Sentral,Melakukan transaksi pasar uang antar bank,2.1 Kebutuhan dana jangka pendek (overnight) dipenuhi melalui pinjaman interbank. 2.2 Penempatan dana surplus dilakukan untuk optimalisasi profit.,,,,,
Logistik,K.64SPP02.050.1,Mengelola Inventori Perlengkapan Kas,Mengelola stok segel dan kantong uang,1.1 Persediaan segel plastik bernomor seri dipantau. 1.2 Kantong uang yang rusak dipisahkan dari persediaan.,,,,,
Logistik,K.64SPP02.050.1,Mengelola Inventori Perlengkapan Kas,Mendistribusikan perlengkapan ke cabang,2.1 Permintaan perlengkapan kas dari cabang divalidasi. 2.2 Pengiriman barang dilakukan dengan dokumen tanda terima.,,,,,
Risk Auditor,K.64SPP03.045.1,Melakukan Audit Risiko Reputasi,Mengidentifikasi pemberitaan negatif,1.1 Sentimen media sosial terkait layanan sistem pembayaran dipantau. 1.2 Keluhan publik yang viral diidentifikasi dampaknya terhadap citra perusahaan.,,,,,
Risk Auditor,K.64SPP03.045.1,Melakukan Audit Risiko Reputasi,Menyusun strategi mitigasi krisis,2.1 Prosedur komunikasi krisis (Crisis Communication) disiapkan. 2.2 Laporan evaluasi kepercayaan nasabah disusun secara berkala.,,,,,
App Developer,K.64SPP01.075.1,Mengelola Keamanan Kode Aplikasi SP,Melakukan pengujian penetrasi (Pen-Test),1.1 Kerentanan pada aplikasi mobile banking diidentifikasi. 1.2 Celah keamanan SQL Injection dan XSS diuji kekuatannya.,,,,,
App Developer,K.64SPP01.075.1,Mengelola Keamanan Kode Aplikasi SP,Menerapkan enkripsi pada level aplikasi,2.1 Algoritma enkripsi kuat diimplementasikan pada data sensitif nasabah. 2.2 Pengelolaan token keamanan diatur untuk akses API.,,,,,
Operational Manager,K.64SPP04.020.1,Mengelola Etika Bisnis Sistem Pembayaran,Menyusun panduan kode etik karyawan,1.1 Standar perilaku profesional di unit sistem pembayaran dirumuskan. 1.2 Larangan gratifikasi dan benturan kepentingan ditegaskan.,,,,,
Operational Manager,K.64SPP04.020.1,Mengelola Etika Bisnis Sistem Pembayaran,Melakukan pengawasan integritas,2.1 Pelanggaran kode etik ditindaklanjuti sesuai peraturan perusahaan. 2.2 Sosialisasi pakta integritas dilakukan kepada seluruh staf operasional.,,,,,
Customer Experience,K.64SPP01.082.1,Mengelola Antarmuka Layanan Pembayaran,Menganalisis kemudahan navigasi aplikasi,1.1 Feedback pengguna mengenai UI/UX aplikasi dikumpulkan. 1.2 Kecepatan proses transaksi dari klik hingga selesai diukur.,,,,,
Customer Experience,K.64SPP01.082.1,Mengelola Antarmuka Layanan Pembayaran,Melakukan pembaruan desain layanan,2.1 Fitur baru ditambahkan berdasarkan kebutuhan pengguna. 2.2 Tampilan visual diperbarui agar lebih intuitif dan modern.,,,,,
Asset Manager,K.64SPP02.055.1,Melakukan Pemeliharaan Mesin Pengolah Uang,Melaksanakan perawatan rutin mesin,1.1 Pembersihan sensor dan mekanik mesin hitung dilakukan. 1.2 Kalibrasi sensor deteksi uang palsu diperiksa.,,,,,
Asset Manager,K.64SPP02.055.1,Melakukan Pemeliharaan Mesin Pengolah Uang,Mengelola suku cadang mesin,2.1 Daftar kebutuhan suku cadang (spare parts) disusun. 2.2 Kerja sama dengan vendor pemeliharaan diawasi performanya.,,,,,
Reporting Officer,K.64SPP01.092.1,Melaporkan Data Transaksi ke Regulator,Memvalidasi data laporan berkala,1.1 Angka volume dan nilai transaksi dicocokkan dengan sistem internal. 1.2 Kesalahan input data dideteksi sebelum pengiriman laporan.,,,,,
Reporting Officer,K.64SPP01.092.1,Melaporkan Data Transaksi ke Regulator,Mengirimkan laporan via aplikasi regulator,2.1 Laporan diunggah ke sistem pelaporan Bank Indonesia tepat waktu. 2.2 Tanda terima laporan disimpan sebagai bukti kepatuhan.,,,,,
Insinyur Elektro,M.71IEN00.001.1,Melaksanakan Praktik Keinsinyuran dengan Etika dan Profesionalisme,Mematuhi kode etik insinyur dan Mengelola tanggung jawab profesional.,1.1 Kode etik keinsinyuran dipahami sesuai standar profesi. 1.2 Integritas dalam bekerja dijaga. 2.1 Kepentingan publik diutamakan dalam setiap keputusan teknis. 2.2 Pengembangan kompetensi berkelanjutan dilakukan.,,,,,
Insinyur Elektro,M.71IEN00.002.1,Melakukan Komunikasi Teknis yang Efektif,Menyusun laporan teknis dan Melakukan presentasi teknis.,1.1 Dokumen spesifikasi disusun dengan bahasa teknis yang benar. 1.2 Laporan kemajuan proyek dibuat periodik. 2.1 Gagasan teknis dipresentasikan kepada pemangku kepentingan.,,,,,
Insinyur Elektro,M.71IEN00.003.1,Menerapkan Prinsip K3LL di Tempat Kerja,Mengidentifikasi potensi bahaya dan Melaksanakan prosedur keselamatan kerja.,1.1 Analisis risiko lingkungan kerja dilakukan. 1.2 APD digunakan sesuai standar. 2.1 Prosedur keadaan darurat dipatuhi. 2.2 Dampak lingkungan dari proyek elektro diminimalisir.,,,,,
